company,sector,city,website,website_status,contact_name,email,phone,source_url,personalization_hook,estimated_ticket,priority
Koya & Company Advocates,Law Firm,Nairobi,https://koyaadvocates.co.ke,okay,,info@koyaadvocates.co.ke,+254731712579,https://koyaadvocates.co.ke/,"Strong legal positioning; can improve conversion with consult booking + trust-case pages.",high,2
Kariuki Muigua and Company Advocates,Law Firm,Nairobi,https://kmco.co.ke,outdated,,, ,https://kmco.co.ke/,"Opportunity to modernize UX and add lead capture + consultation funnel.",high,1
WKA Advocates,Law Firm,Nairobi,https://www.wka.co.ke,okay,,, ,https://www.wka.co.ke/,"Already offers consultations; can optimize to increase booked high-value consults.",high,2
CR Advocates LLP,Law Firm,Nairobi,https://www.cradvocatesllp.com,okay,,, ,https://www.cradvocatesllp.com/,"Premium audience match; growth via thought-leadership SEO and conversion pages.",high,3
CM Advocates LLP,Law Firm,Nairobi,https://cmadvocates.com,okay,,, ,https://cmadvocates.com/,"Business-advisory angle fits revenue-focused website optimization.",high,3
Nairobi Academy,School,Nairobi,https://www.nairobiacademy.or.ke,okay,,kindergarten@nairobiacademy.net,+254721305721,https://www.nairobiacademy.or.ke/admissions/contact-us/,"Admissions-driven site can increase inquiry volume with better enrollment funnel.",high,2
Braeburn School,School,Nairobi,https://braeburnschool.braeburn.com,okay,,enquiries.braeburn@braeburn.ac.ke,+254730881000,https://braeburnschool.braeburn.com/,"High-ticket education brand; CRO + parent journey optimization opportunity.",high,2
Hillcrest International School,School,Nairobi,https://hillcrest.ac.ke,okay,,admin@hillcrest.ac.ke,+254730881192,https://hillcrest.ac.ke/,"International positioning can benefit from stronger admissions conversion pages.",high,2
Makini School,School,Nairobi,https://www.makinischool.ac.ke,okay,,admissions@makinischool.com,+254791781370,https://www.makinischool.ac.ke/,"Admissions contacts available; optimize site for measurable enrollment growth.",high,2
Rosslyn Academy,School,Nairobi,https://rosslynacademy.org,okay,,admissions@rosslynacademy.com,,https://rosslynacademy.org/,"Can improve conversion from tour-interest to application completion.",high,3
Atlas Education Centre,School,Nairobi,,no-site,,atlaske@hotmail.com,+254725256633,https://www.eeducationgroup.com/private-secondary-schools-in-kenya-contacts/,"Directory presence but weak owned digital footprint; ideal for full website build.",mid,1
Cedar Progressive Academy,School,Nairobi,,no-site,,cedarpacademy@yahoo.co.uk,+254722857280,https://www.eeducationgroup.com/local-private-secondary-schools-in-kenya/,"Likely relying on directory listings; high upside from first-party website + admissions form.",mid,1
Mary Junior Academy,School,Nairobi,,no-site,,marymubea@gmail.com,+254723100711,https://www.eeducationgroup.com/private-primary-schools-in-kenya-contacts/,"Gmail-based contact suggests no strong web asset; quick-win website build lead.",mid,1
House of Waine,Hotel,Nairobi,https://www.houseofwaine.com,okay,,reservations@houseofwaine.co.ke,,https://www.houseofwaine.com/contact.html,"Luxury profile; direct-booking optimization can reduce OTA dependence.",high,1
DoubleTree Nairobi Hurlingham,Hotel,Nairobi,https://www.hilton.com/en/hotels/nbohudi-doubletree-nairobi-hurlingham/,okay,,reservations@doubletreenairobi.co.ke,+254709090000,https://www.hilton.com/en/hotels/nbohudi-doubletree-nairobi-hurlingham/,"Can pitch conversion/upsell landing pages for local events & corporate stays.",high,3
Kenya Comfort Hotel,Hotel,Nairobi,https://www.kenyacomfort.com/kcs/contact.html,outdated,,sales@kenyacomfort.com,+254737111111,https://www.kenyacomfort.com/kcs/contact.html,"Legacy-style web flow indicates redesign + booking UX improvement opportunity.",high,1
Eka Hotel,Hotel,Nairobi,https://www.ekahotel.com,okay,,reservations@ekahotel.com,+254719045000,https://www.aku.edu/events/inter-professional-conf/Documents/Nairobi%20Hotels.pdf,"Reservations email publicly listed; can improve direct conversion journey.",high,2
Siginon Group,Logistics,Nairobi,https://siginon.com,okay,,corporate@siginon.com,+254709321500,https://siginon.com/,"Strong logistics footprint; lead-gen microsites by vertical can grow enterprise pipeline.",high,2
Kenya Logistics,Logistics,Nairobi,http://www.kenyalogistics.com,outdated,,nairobi@kenyalogistics.com,+254729295422,http://www.kenyalogistics.com/contact/,"Basic site structure suggests clear modernization and trust-conversion upside.",mid,1
20Cube Kenya,Logistics,Nairobi,https://www.20cube.com/freight-forwarder-in-kenya/,okay,,ke@20cube.com,+254721700367,https://www.20cube.com/freight-forwarder-in-kenya/,"Enterprise logistics service can benefit from local conversion landing pages.",high,3
